icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
40910,113,AGRICULTURE;FINANCE;HEALTH,,B001267,AGING;AGRICULTURE;BANKING;FINANCE;HEALTH,
40915,115,APPROPRIATIONS;ENERGY;INTELLIGENCE;VETERANS,,M001183,APPROPRIATIONS;ARMED SERVICES;COMMERCE;ENERGY;INTELLIGENCE;VETERANS,
41101,113,AGING;ARMED SERVICES;COMMERCE;JUDICIARY;VETERANS,,B001277,AGING;ARMED SERVICES;COMMERCE;COMMISSION ON SECURITY;HEALTH;JUDICIARY;VETERANS,
41101,112,AGING;ARMED SERVICES;HEALTH;JUDICIARY,,B001277,AGING;ARMED SERVICES;COMMISSION ON SECURITY;HEALTH;JUDICIARY,
41102,115,AGING;APPROPRIATIONS;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,,R000595,AGING;APPROPRIATIONS;COMMERCE;COMMISSION ON SECURITY;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,
41102,113,COMMERCE;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,,R000595,COMMERCE;COMMISSION ON SECURITY;FOREIGN RELATIONS;INTELLIGENCE;SMALL BUSINESS,
41104,113,FOREIGN RELATIONS;HEALTH;HOMELAND SECURITY;SMALL BUSINESS,,P000603,ENERGY;FOREIGN RELATIONS;HEALTH;HOMELAND SECURITY;SMALL BUSINESS,
41106,113,AGING;ARMED SERVICES;BUDGET;COMMERCE;HOMELAND SECURITY,,A000368,AGING;ARMED SERVICES;BUDGET;COMMERCE;COMMISSION ON SECURITY;HOMELAND SECURITY;SMALL BUSINESS,
41106,112,AGING;ARMED SERVICES;BUDGET;COMMERCE;SMALL BUSINESS,,A000368,ARMED SERVICES;BUDGET;COMMERCE;SMALL BUSINESS,
41110,115,COMMERCE;ECONOMIC;ENERGY;JUDICIARY,,L000577,ARMED SERVICES;COMMERCE;ECONOMIC;ENERGY;JUDICIARY,Vice Chairman
41110,113,ARMED SERVICES;ECONOMIC;ENERGY;JUDICIARY,,L000577,ARMED SERVICES;ECONOMIC;ENERGY;FOREIGN RELATIONS;JUDICIARY,
41111,113,BUDGET;COMMERCE;FOREIGN RELATIONS;SMALL BUSINESS,,J000293,AGING;APPROPRIATIONS;BUDGET;COMMERCE;FOREIGN RELATIONS;HOMELAND SECURITY;SMALL BUSINESS,
